,author_name,tag
72,Ala1234,Outside_Dog
73,Alashay,"Shih_Tzu,Dog_Daily_Life"
74,Alba,"Other_Pets,Clothes,Dog_Racing,Outside_Dog,Hereditary_Disease,Others,Hair_Combing,Dog_Giving,Fierce_Dog"
75,Albany,"Dog_Family,Outside_Dog"
76,AlbinoRose,Shih_Tzu
77,Alethea,"Mixes_Cross,Mouth,Mouth_Clean,Hereditary_Disease,Dog_Challenge,Others,Dog_Giving,Fierce_Dog,Dog_Pray"
78,Alexisharris602,Shih_Tzu
79,Alexp1188,Small_Dog
80,Alexs15,Shih_Tzu
81,Alezwulf,"Clothes,Small_Dog"
82,AlfieTheDachshund,"Catahoula,Meet_Memory,Digestive_System"
83,Ali Fish4Dogs,"Discussion_Question,Toy_Poodle,Excretory_System"
84,Alia,"Mixes_Cross,Train_Care,Welcome_New_Partner,Color,Author_Interest,Others"
85,AliasAussies,"Other_Animal_Food,Grooming_Tools,Others,Breed_Color"
86,Alice Cooper,"Collar,Others,Outside_Dog"
87,Aliivs,"Dog_Family,Toy_Poodle,Mouth,Discussion_Question,Dog_Film,Others,Dog_Giving,Food_Ingredient"
88,Alisa,"Accident,Shih_Tzu"
89,Alison78,"Toy_Poodle,Others"
90,AllAboutDogsNet,Small_Dog
91,Alla and Frodo,"Catahoula,Collar,Author_Interest,Parasite_Infection,Breed_Color,Others,Food_Brand"
92,Allatonce,"Toy_Poodle,Accident,Other_Animal_Food,Color,Grooming_Tools,Others"
93,Allianna,"Other_Pets,Train_Care,Toy_Poodle,Others,Emotion"
94,AllieD,"Condolences,Collar,Dog_Challenge,Grooming_Tools,Parasite_Infection,Meet_Memory,Breed_Color,Fierce_Dog,Dog_Giving,Others,Food_Brand"
95,AllieJ333,"Fierce_Dog,Toy_Poodle"
96,Alliieeseven,Small_Dog
97,Alltornup,"Dog_Film,Parasite_Infection,Shih_Tzu"
98,Alpha Runt,"Collar,Shih_Tzu"
99,AltaikaTai,"Mixes_Cross,Mouth_Clean,Accident,Others,Dog_Giving,Breed_Color,Food_Brand"
100,Altra,"Toy_Poodle,Mouth,Skin_Clean_Allergy,Gear,Others,Dog_Daily_Life"
101,Alwassup4you,Small_Dog
102,AlwaysTomboy,"Mixes_Cross,Dog_Family,Skin_Clean_Allergy,Collar,Accident,Behavior_Play_Outside,Others,Dog_Daily_Life,Food_Brand"
103,AlyKat,"Rare_Guide,Outside_Dog,Hereditary_Disease,Author_Interest,Dog_Giving"
104,AlynZoey,Shih_Tzu
105,AlyshaAndDaisy,"Skin_Clean_Allergy,Others,Shih_Tzu,Food_Brand"
106,AlyssumsMum,"Dog_Family,Train_Care,Toy_Poodle,Behavior_Play_Outside,Others,Dog_Giving"
107,Amanda1472,"Toy_Poodle,Collar,Accident,Grooming_Tools,Others,Food_Brand"
108,AmandaB,"Mouth_Clean,Dog_Challenge,Parasite_Infection,Others,Bulls,Fierce_Dog,Author_Interest,Dog_Giving,Dog_Pray,Food_Brand"
109,AmandaM,"Other_Pets,Train_Care,Toy_Poodle,Condolences,Mouth_Clean,Dog_Racing,Color,Hereditary_Disease,Others,Food_Ingredient,Dog_Daily_Life"
110,AmandaNola,"Toy_Poodle,Condolences,Mouth_Clean,Flying_Disc,Color,Dog_Film,Parasite_Infection,Author_Interest,Others,Food_Brand"
111,Amandalaynee,"Behavior_Play_Outside,Dog_Tracking,Others,Bulls,Emotion,Food_Brand"
112,AmazingMutts,"Hereditary_Disease,Toy_Poodle,Gear,Others"
113,AmberH,"Other_Pets,Shih_Tzu,Skin_Clean_Allergy,Color,Dog_Film,Parasite_Infection,Dog_Giving,Others,Food_Brand"
114,AmberliG,"Rare_Guide,Mixes_Cross,Discussion_Question,Emotion"
115,Amblin Cowgirl,"Others,Shih_Tzu"
116,Ameera,"Emotion,Others,Small_Dog"
117,AmpleNM,Others
118,AmyBrooks,"Catahoula,Others,Meet_Memory,Skin_Clean_Allergy"
119,AnabelleC,"Others,Shih_Tzu"
120,Anagelys25,Bulls
121,Analoves95,Small_Dog
122,Anders88,Shih_Tzu
123,AndrejKosevski,Breed_Color
124,Andrew Farag,Shih_Tzu
125,AndrewsPistol,"Clothes,Mouth_Clean,Outside_Dog,Hereditary_Disease,Others,Food_Brand"
126,AndwadInLove,"Hereditary_Disease,Dog_Film,Toy_Poodle,Others"
127,Andy Mopley,"Mouth,Shih_Tzu,Collar,Hereditary_Disease,Others"
128,AngelBoa,"Catahoula,Mouth,Discussion_Question,Others,Parasite_Infection"
129,Angelzeyz86,Small_Dog
130,Animal Lover,"Other_Pets,Bedding,Outside_Dog,Other_Animal_Food,Hereditary_Disease,Gear,Dog_Giving,Others,Fierce_Dog"
131,Animal Mother,"Food_Ingredient,Nutrition,Bulls"
132,AnimalAnimeLover,"Shih_Tzu,Collar,Meet_Memory,Others,Food_Brand"
133,Animalia,Shih_Tzu
134,AnimalsAll,Shih_Tzu
135,Anna,Toy_Poodle
136,Anna17,"Rare_Guide,Others,Bulls"
137,AnnaSunflower,"Train_Care,Mouth,Mouth_Clean,Outside_Dog,Hereditary_Disease,Meet_Memory,Others,Food_Brand"
138,Annabel,Toy_Poodle
139,AnnieBearBites101,Shih_Tzu
140,Annieshuman,"Catahoula,Others"
141,Annmcc1976,"Mouth,Shih_Tzu,Behavior_Play_Outside,Hereditary_Disease,Others,Dog_Giving,Fierce_Dog,Food_Brand"
142,Annubis,Shih_Tzu
143,Antdweaver,Small_Dog
144,Anthonxy,Shih_Tzu
145,Antje,Toy_Poodle
146,Appaloosa,"Other_Pets,Dog_Family,Mouth,Shih_Tzu,Accident,Grooming_Tools,Others,Digestive_System,Training"
147,ApplejackMom,"Toy_Poodle,Collar,Bedding,Hereditary_Disease,Meet_Memory,Others,Emotion,Dog_Pray"
148,April8234,Shih_Tzu
149,AprilNFred,"Mouth,Shih_Tzu,Collar,Others,Dog_Daily_Life"
150,Archimedes,Shih_Tzu
151,ArcticRain,"Toy_Poodle,Mouth,Others,Dog_Daily_Life"
152,ArcticShrike,Outside_Dog
153,Ardennais,"Catahoula,Dog_Family,Mouth,Skin_Clean_Allergy,Parasite_Infection,Gear,Breed_Color,Others,Food_Brand"
154,Arhunter0417,Shih_Tzu
155,AriLovesDogs,Toy_Poodle
156,Aria,"Dog_Film,Toy_Poodle,Others"
157,ArielAlpuin,Shih_Tzu
158,Ariesmom63,"Other_Pets,Train_Care,Outside_Dog,Others,Dog_Giving,Dog_Pray"
159,Arimus66,Shih_Tzu
160,Ark,"Other_Pets,Toy_Poodle,Collar,Training,Others,Hair_Combing,Food_Brand"
161,Arooroomom,"Meet_Memory,Others"
162,Arrielle,Mixes_Cross
163,Arrow,Shih_Tzu
164,Artdog,"Dog_Family,Train_Care,Toy_Poodle,Flying_Disc,Skin_Clean_Allergy,Collar,Behavior_Play_Outside,Hereditary_Disease,Training,Food_Brand"
165,Artemis the Dog,"Dog_Family,Dog_Film,Bulls"
166,ArtemisOwl,"Catahoula,Dog_Daily_Life"
167,Arthur Olsen,"Discussion_Question,Accident,Bulls"
168,Arwen,"Toy_Poodle,Skin_Clean_Allergy,Collar,Hereditary_Disease,Meet_Memory,Training,Others"
169,AshBahamas,"Hereditary_Disease,Small_Dog"
170,AshleeN8604,Shih_Tzu
171,Ashleigh24,Catahoula
172,AshleyMMacNicol,"Mixes_Cross,Food_Brand"
173,AshleyNicole90,Outside_Dog
174,Ashmarie,Shih_Tzu
175,Ashmuddy,Catahoula
176,Aspen726,"Mixes_Cross,Mouth_Clean,Flying_Disc,Collar,Gear,Parasite_Infection,Author_Interest,Others,Dog_Pray,Food_Brand"
177,Astaple51,"Fierce_Dog,Outside_Dog"
178,Astranger,"Dog_Family,Small_Dog"
179,Astroquack,"Others,Allergy_Food,Parasite_Infection,Shih_Tzu"
180,At Whitts End,"Dog_Family,Parasite_Infection,Breed_Color"
181,Atar26,Others
182,Atharsam,Catahoula
183,Athena,"Catahoula,Train_Care,Skin_Clean_Allergy,Welcome_New_Partner,Color,Grooming_Tools,Others,Food_Brand"
184,Atmospheric,"Discussion_Question,Shih_Tzu"
185,AussieLuv,"Meet_Memory,Shih_Tzu"
186,AussieMaksi,Shih_Tzu
187,Aussieguru,"Mixes_Cross,Collar,Hereditary_Disease,Training,Others,Hair_Combing,Food_Ingredient"
188,Aussies2nitro,Mixes_Cross
189,Aussies4life,"Others,Outside_Dog"
190,AustinB,"Mixes_Cross,Skin_Clean_Allergy,Collar,Behavior_Play_Outside,Grooming_Tools,Digestive_System"
191,Autumn,"Fierce_Dog,Mixes_Cross,Training,Dog_Family"
192,Autumnwolf,"Toy_Poodle,Mouth,Skin_Clean_Allergy,Collar,Hereditary_Disease,Dog_Challenge,Others,Breed_Color,Food_Brand"
193,AvBernardo,"Discussion_Question,Parasite_Infection,Outside_Dog"
194,Ava,"Mixes_Cross,Other_Pets,Condolences,Accident,Color,Training,Nutrition"
195,Axl,"Toy_Poodle,Allergy_Food"
196,AxlRosel,"Others,Shih_Tzu"
197,Axvald,Outside_Dog
198,Ayylevine9,"Skin_Clean_Allergy,Others,Small_Dog"
199,Azab,"Others,Breed_Color"
200,BCastle,Outside_Dog
201,BOHICA Bay,"Mixes_Cross,Dog_Family,Mouth,Bedding,Other_Animal_Food,Meet_Memory,Others,Gear,Training"
202,BScan,"Author_Interest,Breed_Color"
203,Babarker3,Catahoula
204,BabyB,Shih_Tzu
205,Babykicks03,"Others,Bulls"
206,Badfish,Outside_Dog
207,Baggsy,"Collar,Hereditary_Disease,Others,Bulls,Dog_Daily_Life"
208,BamaBully,"Collar,Meet_Memory,Shih_Tzu"
209,BambysHuman,Small_Dog
210,Bananamuffin,"Mixes_Cross,Collar,Color,Hereditary_Disease,Meet_Memory,Others,Dog_Giving,Food_Brand"
211,BanditHuyana,"Collar,Accident,Outside_Dog,Hereditary_Disease,Meet_Memory,Dog_Giving"
212,BanditsMom,"Toy_Poodle,Mouth,Collar,Bedding,Meet_Memory,Others,Cancer_Tumor,Food_Brand"
213,Bandy105,"Cancer_Tumor,Toy_Poodle,Author_Interest"
214,Banter,"Accident,Gear,Others,Cancer_Tumor,Dog_Daily_Life,Food_Brand"
215,Barb,"Mouth,Collar,Behavior_Play_Outside,Hereditary_Disease,Grooming_Tools,Others,Dog_Giving,Breed_Color,Dog_Pray,Food_Brand"
216,Barghest,"Train_Care,Toy_Poodle,Collar,Other_Animal_Food,Hereditary_Disease,Training,Author_Interest,Others"
217,BarkBarkWoofWoof,"Behavior_Play_Outside,Bedding,Hereditary_Disease,Others,Dog_Giving,Dog_Pray"
218,BarkingPup,"Mixes_Cross,Flying_Disc,Collar,Allergy_Food,Bedding,Hereditary_Disease,Author_Interest,Dog_Giving,Others"
219,BarkyCollies,"Clothes,Shih_Tzu,Bedding,Hereditary_Disease,Others,Fierce_Dog"
220,BarkyMalarkey,"Mixes_Cross,Dog_Family,Collar,Accident,Behavior_Play_Outside,Other_Animal_Food,Grooming_Tools,Others,Training,Dog_Pray"
221,BarneysMom,"Shih_Tzu,Skin_Clean_Allergy,Welcome_New_Partner,Gear,Others,Food_Brand"
222,BasenjiDave,Others
223,Basiiil,Small_Dog
224,Basset craz,"Other_Pets,Outside_Dog,Hereditary_Disease,Grooming_Tools,Others,Fierce_Dog"
225,Bastet,"Toy_Poodle,Collar,Parasite_Infection,Others,Food_Brand"
226,BayGirl,"Catahoula,Behavior_Play_Outside"
227,Bayl33,Shih_Tzu
228,Bb29,Catahoula
229,Bdod,Shih_Tzu
230,Beagle911,"Train_Care,Shih_Tzu"
231,Bear91,"Outside_Dog,Discussion_Question,Others,Digestive_System,Cancer_Tumor"
232,Beast12,Outside_Dog
233,Beatha,"Mouth,Shih_Tzu,Collar,Grooming_Tools,Others,Breed_Color"
234,Beauce38,"Cancer_Tumor,Behavior_Play_Outside,Clothes,Outside_Dog"
235,BedlingtonBabe,"Mixes_Cross,Collar,Hereditary_Disease,Discussion_Question,Dog_Challenge,Others,Hair_Combing,Dog_Pray,Food_Brand"
236,Beginner112,Small_Dog
237,Belinda,Small_Dog
238,Bella1986,"Welcome_New_Partner,Shih_Tzu,Others"
239,Bella33,Mixes_Cross
240,BellaScarlett,"Toy_Poodle,Condolences,Skin_Clean_Allergy,Collar,Behavior_Play_Outside,Others,Nutrition,Food_Brand"
241,Belle,"Toy_Poodle,Collar,Meet_Memory,Gear,Hair_Combing,Dog_Pray"
242,Belle and Jack,"Catahoula,Collar,Others,Dog_Giving"
243,Belle32,Catahoula
244,BellsMommy22,"Gear,Shih_Tzu"
245,Benedikt,"Rare_Guide,Excretory_System,Outside_Dog,Meet_Memory,Others"
246,BenjiMurray,"Other_Pets,Shih_Tzu"
247,Benjinator,"Toy_Poodle,Collar,Bedding,Training,Others"
248,BennieGamali,"Mixes_Cross,Color,Hereditary_Disease,Others,Hair_Combing,Dog_Daily_Life,Food_Brand"
249,Bensonmjc,Shih_Tzu
250,Bentwings,"Dog_Family,Toy_Poodle,Collar,Behavior_Play_Outside,Dog_Tracking,Hereditary_Disease,Training,Gear,Hair_Combing,Food_Brand"
251,Berchtwald,Shih_Tzu
252,Berkley,Outside_Dog
253,Bernation,Shih_Tzu
254,BernerGregg,Outside_Dog
255,Besoeker,"Mixes_Cross,Clothes,Skin_Clean_Allergy,Collar,Behavior_Play_Outside,Others,Digestive_System,Dog_Giving"
256,Bessica Cheesepuff,"Clothes,Shih_Tzu,Skin_Clean_Allergy,Collar,Allergy_Food,Meet_Memory,Others,Dog_Daily_Life"
257,Beta Man,"Catahoula,Accident,Behavior_Play_Outside,Breed_Color,Others,Parasite_Infection,Digestive_System,Hair_Combing"
258,Beth,Toy_Poodle
259,BethApril,"Collar,Parasite_Infection,Shih_Tzu,Others"
260,BexBourhill,Toy_Poodle
261,Bexx,"Mixes_Cross,Collar,Hereditary_Disease,Others,Dog_Daily_Life,Food_Brand"
262,Bhawkins0711,"Shih_Tzu,Collar,Hereditary_Disease,Dog_Giving,Food_Brand"
263,BichonBetty,Small_Dog
264,BiczMyBoy,"Others,Allergy_Food,Mouth,Shih_Tzu"
265,Bigargylesock,"Shih_Tzu,Mouth_Clean,Hereditary_Disease,Dog_Film,Others,Author_Interest,Emotion,Food_Brand"
266,Bigdoglover,"Hereditary_Disease,Toy_Poodle,Meet_Memory,Others"
267,Biker3,"Cancer_Tumor,Meet_Memory,Shih_Tzu"
268,BilboBaggins,Catahoula
269,BillMolton,"Toy_Poodle,Others"
270,Billie116,"Toy_Poodle,Welcome_New_Partner,Accident,Meet_Memory,Others,Dog_Pray"
271,Billy Wolf,Shih_Tzu
272,BillyGjr,Mixes_Cross
273,Bingo3126,"Parasite_Infection,Breed_Color"
274,Binkalette,"Other_Pets,Toy_Poodle,Mouth,Bedding,Hereditary_Disease,Gear,Dog_Giving,Others,Food_Ingredient"
275,Birdguy321,Toy_Poodle
276,Biscuit,Small_Dog
277,BlacDog,"Dog_Family,Excretory_System,Mouth_Clean,Flying_Disc,Collar,Accident,Hereditary_Disease,Others"
278,BlackShadowCaneCorso,"Mixes_Cross,Dog_Family,Excretory_System,Accident,Meet_Memory,Others,Dog_Giving"
279,Blanco,"Other_Pets,Clothes,Excretory_System,Mouth_Clean,Collar,Welcome_New_Partner,Outside_Dog,Parasite_Infection,Others"
280,Blaze,Shih_Tzu
281,Blitz Around,Catahoula
282,Blizzard,"Fierce_Dog,Condolences,Small_Dog,Dog_Giving"
283,BloodhoundMomma,Catahoula
284,Blossom,"Discussion_Question,Toy_Poodle"
285,Blossoms,Bulls
286,BluMagic,"Fierce_Dog,Other_Pets,Outside_Dog"
287,BluStaff,"Gear,Shih_Tzu"
288,Blue Fox,"Toy_Poodle,Other_Animal_Food,Dog_Film,Grooming_Tools,Meet_Memory,Others"
289,Blue Topaz,"Toy_Poodle,Mouth_Clean,Collar,Discussion_Question,Others,Dog_Pray,Dog_Daily_Life,Food_Brand"
290,Blue pup,"Mixes_Cross,Mouth,Skin_Clean_Allergy,Dog_Tracking,Others,Author_Interest,Breed_Color,Fierce_Dog,Dog_Pray,Food_Brand"
291,BlueEyedHusky,"Other_Pets,Dog_Family,Outside_Dog,Hereditary_Disease,Others,Fierce_Dog"
292,BlueUniverse,"Collar,Toy_Poodle,Meet_Memory"
293,Bluemchen,"Toy_Poodle,Clothes,Collar,Behavior_Play_Outside,Allergy_Food,Hereditary_Disease,Training,Others,Dog_Pray"
294,Bluesky1116,"Collar,Grooming_Tools,Others,Gear,Small_Dog,Training"
295,BoBoWorld,Shih_Tzu
296,Bob The Dog,"Dog_Family,Condolences,Clothes,Flying_Disc,Breed_Color,Bedding,Discussion_Question,Training,Gear,Others,Digestive_System"
297,Bobo11420,"Hereditary_Disease,Others,Outside_Dog"
298,BoesMommy,"Catahoula,Others,Fierce_Dog"
299,Bolt5488,"Other_Pets,Collar,Others,Cancer_Tumor,Dog_Daily_Life,Food_Brand"
300,Bommeroo,"Training,Others,Fierce_Dog,Cancer_Tumor,Food_Brand"
301,Bonnie,"Parasite_Infection,Shih_Tzu,Dog_Daily_Life"
302,Boofp,"Mouth,Outside_Dog,Dog_Film,Meet_Memory,Others,Dog_Daily_Life,Nutrition"
303,Boogie28,Outside_Dog
304,Boonaunie,"Hereditary_Disease,Others,Mouth_Clean"
305,Borador,"Toy_Poodle,Gear"
306,BorderGal,"Toy_Poodle,Skin_Clean_Allergy,Collar,Parasite_Infection,Dog_Giving"
307,BorderKelpie,Catahoula
308,Bordercollie,"Collar,Accident,Outside_Dog,Hereditary_Disease,Discussion_Question,Grooming_Tools,Training,Others,Food_Brand"
309,Bordercollielove,"Catahoula,Allergy_Food"
310,Borg34572,"Mixes_Cross,Condolences,Mouth,Accident,Hereditary_Disease,Meet_Memory,Others,Dog_Daily_Life,Food_Brand"
311,BostonBullMama,"Mouth_Clean,Behavior_Play_Outside,Gear,Others,Breed_Color,Food_Brand"
312,Boudicca,"Dog_Family,Others"
313,Bowhunter1518,Toy_Poodle
314,Bowietheboxer23,Small_Dog
315,BoxLove,"Other_Pets,Mouth,Skin_Clean_Allergy,Accident,Others,Dog_Giving,Breed_Color,Nutrition,Food_Brand"
316,Boxerknwldge,"Mixes_Cross,Dog_Family"
317,Boxerluv,"Other_Pets,Toy_Poodle,Condolences,Hereditary_Disease,Dog_Challenge,Gear,Others,Fierce_Dog,Food_Brand"
318,Bpmarmstrong,Catahoula
319,BradyButtsMama,"Gear,Others,Meet_Memory,Food_Brand"
320,Brandirock13,"Shih_Tzu,Dog_Giving"
321,Brandon Burge,"Skin_Clean_Allergy,Small_Dog"
322,Brandon Green,Shih_Tzu
323,BrandonT1858,"Accident,Small_Dog"
324,Brandy,"Shih_Tzu,Collar,Behavior_Play_Outside,Hereditary_Disease,Others,Hair_Combing,Food_Brand"
325,Brandy167,"Others,Shih_Tzu"
326,BrandyPit07,"Hereditary_Disease,Training,Shih_Tzu"
327,BrandyonTX,Shih_Tzu
328,Bratmare,"Dog_Family,Mixes_Cross,Accident,Parasite_Infection,Dog_Daily_Life"
329,Brehon,Outside_Dog
330,Bri,"Collar,Meet_Memory,Shih_Tzu,Others"
331,Brian1,"Collar,Outside_Dog,Meet_Memory,Others,Breed_Color"
332,Brianlocal3,"Catahoula,Dog_Family,Dog_Film"
333,Briard Lover,"Toy_Poodle,Clothes,Accident,Meet_Memory,Others"
334,BridgetAnnette,Bulls
335,BridgetH24,Others
336,BriscoDog24,"Other_Pets,Train_Care,Shih_Tzu,Collar,Others"
337,BristolGivesMeHope,"Other_Pets,Mixes_Cross,Dog_Family,Others,Food_Brand"
338,Briteflame3,Catahoula
339,BrittaS,"Train_Care,Mouth_Clean,Collar,Behavior_Play_Outside,Hereditary_Disease,Others,Dog_Daily_Life,Food_Brand"
340,Brittany,"Mixes_Cross,Dog_Family,Mouth,Mouth_Clean,Behavior_Play_Outside,Hereditary_Disease,Others,Dog_Giving,Fierce_Dog,Food_Ingredient"
341,Brn4u,Mixes_Cross
342,Broadside,Shih_Tzu
343,Broady,Shih_Tzu
344,Brodi,"Other_Pets,Cancer_Tumor,Accident,Others"
345,BrokenSpur,"Others,Discussion_Question,Shih_Tzu"
346,Brookeadam13,Shih_Tzu
347,Brookie21,"Shih_Tzu,Mouth_Clean,Hereditary_Disease,Others,Fierce_Dog"
348,BruceCampbell,Breed_Color
349,Bruins14,Shih_Tzu
350,BrunoTheCollie,"Others,Behavior_Play_Outside,Shih_Tzu"
351,Bruschnazzy,"Accident,Toy_Poodle,Hair_Combing,Breed_Color"
352,BrutalYouth,"Fierce_Dog,Hereditary_Disease,Shih_Tzu"
353,Bryansgirl,"Dog_Family,Mouth,Shih_Tzu,Collar,Bedding,Hereditary_Disease,Others,Dog_Giving,Food_Brand"
354,BubbaLove,"Mouth,Hereditary_Disease,Others,Fierce_Dog,Food_Brand"
355,Bubblebror12003,"Other_Pets,Excretory_System,Skin_Clean_Allergy,Accident,Training,Others"
356,BucklesAndDog,Shih_Tzu
357,Buckleysdad,"Others,Shih_Tzu"
358,Buckshot1,Toy_Poodle
359,Buddy117,Small_Dog
360,BuddyBad,Shih_Tzu
361,BuddytheBoxerMix,"Catahoula,Accident,Bedding,Hereditary_Disease,Others,Dog_Giving,Fierce_Dog,Food_Brand"
362,Buffalo,Shih_Tzu
363,Buffy,Shih_Tzu
364,BulgarianDogs,Shih_Tzu
365,Bulley12345,Toy_Poodle
366,BullyGirl80,"Mixes_Cross,Dog_Family,Mouth_Clean,Flying_Disc,Accident,Behavior_Play_Outside,Training,Others,Food_Brand"
367,BullyLover,"Bedding,Hereditary_Disease,Breed_Color,Fierce_Dog,Food_Brand"
368,BullyMomma144,"Collar,Others,Outside_Dog"
369,BurningAmber520,"Fierce_Dog,Other_Pets,Shih_Tzu,Food_Brand"
370,Buster,"Clothes,Shih_Tzu,Excretory_System,Behavior_Play_Outside,Dog_Film,Others,Breed_Color,Dog_Tracking"
371,BusterBCsMum,"Toy_Poodle,Collar,Hereditary_Disease,Dog_Challenge,Training,Others,Author_Interest,Food_Brand"
372,Butterfli7o,"Catahoula,Skin_Clean_Allergy,Others,Dog_Giving,Fierce_Dog,Food_Brand"
373,Butterfly88,"Shih_Tzu,Mouth_Clean,Skin_Clean_Allergy,Collar,Allergy_Food,Meet_Memory,Others,Dog_Daily_Life"
374,Buttglitter,"Mixes_Cross,Train_Care,Discussion_Question,Training"
375,Buttons,Shih_Tzu
376,C 76,"Mixes_Cross,Clothes,Collar,Meet_Memory,Parasite_Infection,Others,Food_Brand"
377,CAES,Toy_Poodle
378,CCLady,"Toy_Poodle,Others"
379,CHIWow,"Others,Outside_Dog"
380,CJakeman,"Hereditary_Disease,Shih_Tzu"
381,CKSAMartin,"Collar,Allergy_Food,Hereditary_Disease,Gear,Hair_Combing,Breed_Color,Others"
382,CTDepot,"Mixes_Cross,Dog_Family,Discussion_Question,Gear,Parasite_Infection"
383,Ca8,"Others,Outside_Dog"
384,CadenceDiscordia,"Condolences,Shih_Tzu,Hereditary_Disease,Dog_Challenge,Gear,Others,Author_Interest,Dog_Daily_Life,Food_Brand"
385,CaitiBugsChis,Outside_Dog
386,CalLex,"Other_Pets,Dog_Family,Welcome_New_Partner,Hereditary_Disease,Small_Dog,Others,Fierce_Dog,Food_Brand"
387,Cali,"Toy_Poodle,Mouth,Collar,Hereditary_Disease,Dog_Challenge,Grooming_Tools,Author_Interest,Dog_Giving,Others,Dog_Pray,Food_Brand"
388,Calisthenics,Mixes_Cross
389,Calliesmom,"Small_Dog,Nutrition"
